0.0593	100
0.0593	-100
0.0743	1-10
0.0743	-110
0.0792	010
0.0792	0-10
0.1086	-210
0.1086	2-10
0.1185	-200
0.1185	200
0.1185	110
0.1185	-1-10
0.1418	-120
0.1418	1-20
0.1487	2-20
0.1487	-220
0.1584	-310
0.1584	3-10
0.1585	020
0.1585	0-20
0.1699	210
0.1699	-2-10
0.1765	-320
0.1765	3-20
0.1778	-300
0.1778	300
0.1927	-1-20
0.1927	120
0.2121	2-30
0.2121	-230
0.2131	-410
0.2131	4-10
0.2172	-420
0.2172	4-20
0.2173	-130
0.2173	1-30
0.2230	-330
0.2230	3-30
0.2251	-3-10
0.2251	310
0.2370	-400
0.2370	400
0.2371	-2-20
0.2371	220
0.2377	030
0.2377	0-30
0.2480	4-30
0.2480	-430
0.2651	5-20
0.2651	-520
0.2697	5-10
0.2697	-510
0.2698	130
0.2698	-1-30
0.2820	410
0.2820	-4-10
0.2834	-530
0.2834	5-30
0.2835	2-40
0.2835	-240
0.2844	-340
0.2844	3-40
0.2869	320
0.2869	-3-20
0.2948	-140
0.2948	1-40
0.2963	500
0.2963	-500
0.2974	4-40
0.2974	-440
0.3100	-2-30
0.3100	230
0.3168	6-20
0.3168	-620
0.3169	040
0.3169	0-40
0.3209	5-40
0.3209	-540
0.3259	-630
0.3259	6-30
0.3273	-610
0.3273	6-10
0.3397	510
0.3397	-5-10
0.3397	420
0.3397	-4-20
0.3479	140
0.3479	-1-40
0.3529	-640
0.3529	6-40
0.3530	3-50
0.3530	-350
0.3556	600
0.3556	-600
0.3556	-3-30
0.3556	330
0.3576	-450
0.3576	4-50
0.3583	2-50
0.3583	-250
0.3708	-720
0.3708	7-20
0.3717	-550
0.3717	5-50
0.3729	-730
0.3729	7-30
0.3730	1-50
0.3730	-150
0.3854	7-10
0.3854	-710
0.3855	240
0.3855	-2-40
0.3913	-740
0.3913	7-40
0.3943	6-50
0.3943	-650
0.3944	-5-20
0.3944	520
0.3962	0-50
0.3962	050
0.3978	-6-10
0.3978	610
0.4048	430
0.4048	-4-30
0.4148	700
0.4148	-700
0.4230	-830
0.4230	8-30
0.4240	7-50
0.4240	-750
0.4241	4-60
0.4241	-460
0.4253	-360
0.4253	3-60
0.4262	-820
0.4262	8-20
0.4264	-1-50
0.4264	150
0.4280	340
0.4280	-3-40
0.4312	-560
0.4312	5-60
0.4345	-840
0.4345	8-40
0.4346	-260
0.4346	2-60
0.4438	8-10
0.4438	-810
0.4460	-660
0.4460	6-60
0.4502	620
0.4502	-6-20
0.4516	-160
0.4516	1-60
0.4563	-7-10
0.4563	710
0.4563	530
0.4563	-5-30
0.4595	8-50
0.4595	-850
0.4622	-2-50
0.4622	250
0.4680	-760
0.4680	7-60
0.4741	-800
0.4741	800
0.4742	-4-40
0.4742	440
0.4752	-930
0.4752	9-30
0.4754	0-60
0.4754	060
0.4811	-940
0.4811	9-40
0.4825	9-20
0.4825	-920
0.4944	-470
0.4944	4-70
0.4961	8-60
0.4961	-860
0.4962	-570
0.4962	5-70
0.4995	-950
0.4995	9-50
0.4997	3-70
0.4997	-370
0.5023	9-10
0.5023	-910
0.5025	-3-50
0.5025	350
0.5050	6-70
0.5050	-670
0.5051	160
0.5051	-1-60
0.5068	720
0.5068	-7-20
0.5096	-6-30
0.5096	630
0.5118	-270
0.5118	2-70
0.5149	-8-10
0.5149	810
0.5204	-770
0.5204	7-70
0.5230	540
0.5230	-5-40
0.5289	-1030
0.5289	10-30
0.5294	9-60
0.5294	-960
0.5302	-1040
0.5302	10-40
0.5304	-170
0.5304	1-70
0.5333	900
0.5333	-900
0.5395	10-20
0.5395	-1020
0.5396	-2-60
0.5396	260
0.5419	8-70
0.5419	-870
0.5431	10-50
0.5431	-1050
0.5463	450
0.5463	-4-50
0.5546	070
0.5546	0-70
0.5611	-1010
0.5611	10-10
0.5640	-8-20
0.5640	820
0.5640	-7-30
0.5640	730
0.5648	5-80
0.5648	-580
0.5669	-1060
0.5669	10-60
0.5671	-480
0.5671	4-80
0.5687	-970
0.5687	9-70
0.5688	6-80
0.5688	-680
0.5737	-9-10
0.5737	910
0.5737	640
0.5737	-6-40
0.5754	-380
0.5754	3-80
0.5782	360
0.5782	-3-60
0.5789	-780
0.5789	7-80
0.5839	170
0.5839	-1-70
0.5896	2-80
0.5896	-280
0.5926	-1000
0.5926	1000
0.5927	550
0.5927	-5-50
0.5947	8-80
0.5947	-880
0.6003	-1070
0.6003	10-70
0.6093	1-80
0.6093	-180
0.6159	-980
0.6159	9-80
0.6175	270
0.6175	-2-70
0.6193	-8-30
0.6193	830
0.6201	-4-60
0.6201	460
0.6215	920
0.6215	-9-20
0.6260	740
0.6260	-7-40
0.6325	-10-10
0.6325	1010
0.6339	080
0.6339	0-80
0.6360	5-90
0.6360	-590
0.6362	-690
0.6362	6-90
0.6413	-490
0.6413	4-90
0.6413	-6-50
0.6413	650
0.6418	-1080
0.6418	10-80
0.6419	-790
0.6419	7-90
0.6519	3-90
0.6519	-390
0.6529	8-90
0.6529	-890
0.6548	-3-70
0.6548	370
0.6629	-1-80
0.6629	180
0.6646	-5-60
0.6646	560
0.6677	-290
0.6677	2-90
0.6691	9-90
0.6691	-990
0.6753	930
0.6753	-9-30
0.6794	-10-20
0.6794	1020
0.6794	-8-40
0.6794	840
0.6882	-190
0.6882	1-90
0.6899	-1090
0.6899	10-90
0.6915	750
0.6915	-7-50
0.6951	-4-70
0.6951	470
0.6957	280
0.6957	-2-80
0.7060	6-100
0.7060	-6100
0.7081	-7100
0.7081	7-100
0.7088	-5100
0.7088	5-100
0.7113	660
0.7113	-6-60
0.7131	090
0.7131	0-90
0.7152	8-100
0.7152	-8100
0.7166	-4100
0.7166	4-100
0.7270	-9100
0.7270	9-100
0.7290	-3100
0.7290	3-100
0.7318	1030
0.7318	-10-30
0.7319	-3-80
0.7319	380
0.7337	940
0.7337	-9-40
0.7380	-5-70
0.7380	570
0.7419	190
0.7419	-1-90
0.7431	-8-50
0.7431	850
0.7434	-10100
0.7434	10-100
0.7460	2-100
0.7460	-2100
0.7597	760
0.7597	-7-60
0.7673	-1100
0.7673	1-100
0.7710	480
0.7710	-4-80
0.7741	290
0.7741	-2-90
0.7830	670
0.7830	-6-70
0.7888	-10-40
0.7888	1040
0.7923	0-100
0.7923	0100
0.7958	-9-50
0.7958	950
0.8095	-3-90
0.8095	390
0.8096	860
0.8096	-8-60
0.8125	580
0.8125	-5-80
0.8209	-1-100
0.8209	1100
0.8298	770
0.8298	-7-70
0.8475	-4-90
0.8475	490
0.8493	-10-50
0.8493	1050
0.8527	2100
0.8527	-2-100
0.8561	680
0.8561	-6-80
0.8606	960
0.8606	-9-60
0.8781	-8-70
0.8781	870
